lm_candidate_id,name,record_kind,region,area,locality,entity_type,role,affiliation,website,activity_tags,activity_summary,source_urls,source_count,source_domains,official_or_sector_source_count,exa_passes,exa_pass_count,raw_record_count,duplicate_collapsed,discovery_evidence_score,evidence_grade,candidate_tier,location_confidence,enhancement_status,enhancement_note,lm_record_status,lm_presence,verification_status,coordinate_status,latitude,longitude,boundary_match,boundary_match_confidence,staging_batch,staging_basis
exg-taranaki-brent-and-debbie-rawlinson,Brent and Debbie Rawlinson,entity,Taranaki,,Ngāere,Farm ecological project,,,,riparian planting | wetland protection,Public award evidence documents wetland protection and native riparian planting.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/award-winners/environmental-leadership-in-dairy-farming-2,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,66,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-brian-gasson,Brian Gasson,entity,Taranaki,,Ōpunake,Individual/community project lead | Individual community restoration practitioner,,,,Native planting | Weed eradication | Restoration coordination | weed control,Brian Gasson is a community project lead in Ōpunake who coordinates native planting and weed eradication efforts to restore local ecosystems. | Public award material identifies practical native planting and weed eradication led with community volunteers.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/award-winners/environmental-action-in-the-community-2,1,trc.govt.nz,1,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,75,A — very strong,Tier 1 — priority LM candidate,medium,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-btw-company,BTW Company,entity,Taranaki,,Taranaki Maunga,Business,,,,pest control,Company active in pest control initiatives on Taranaki Maunga and design of conservation aviaries.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2020-award-winners/environmental-leadership-in-business-2020,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,53,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-caiseal-trust,Caiseal Trust,entity,Taranaki,,Huinga,Farm business,,,,riparian planting | wetland development,Family farm entity implementing riparian planting and wetland development for environmental stewardship.,https://nzfetrust.org.nz/news/balancing-productivity-and-sustainability-sees-huinga-dairy-farmer-named-regional-supreme-winner-at-the-taranaki-ballance-farm-environment-awards/ | https://nzfetrust.org.nz/regions/taranaki/,2,nzfetrust.org.nz,0,03-GRASSROOTS,1,1,False,69,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-castlecliff-coast-care,Castlecliff Coast Care,entity,Taranaki,,Castlecliff | Whanganui,Community coastal restoration group,,,https://castlecliffcoastcare.co.nz/,dune restoration | native planting | weed control | predator control,"Community-led group focused on coastal restoration, dune stabilisation, and biodiversity enhancement through native planting and invasive weed removal.",https://castlecliffcoastcare.co.nz/,1,castlecliffcoastcare.co.nz,0,03-GRASSROOTS,1,1,False,65,B — strong,Tier 2 — credible candidate,high,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-chauncy-ardell,Chauncy Ardell,entity,Taranaki,,Taranaki,Predator-control project lead | Environment Officer / Urban Project Lead,,,https://www.trc.govt.nz/environment/working-together/towards-predator-free-taranaki/predator-free-news/grandmother-becomes-urban-trapper | https://linkedin.com/in/chauncy-ardell-0a7461a5,predator control | pest management | biodiversity restoration | community engagement | pest control | project design | pest plant management | predator-free project coordination,Public profile identifies hands-on urban predator-free project coordination and community engagement. | Environment Officer and Urban Project Lead for the Taranaki Taku Tūranga – Towards Predator-Free Taranaki project at Taranaki Regional Council.,https://www.trc.govt.nz/environment/working-together/towards-predator-free-taranaki/predator-free-news/grandmother-becomes-urban-trapper | https://linkedin.com/in/chauncy-ardell-0a7461a5 | https://trc.govt.nz/environment/working-together/towards-predator-free-taranaki/predator-free-news/grandmother-becomes-urban-trapper | https://predatorfreenz.org/stories/predator-free-taranaki/ | https://predatorfreenz.org/stories/towards-predator-free-taranaki/,5,linkedin.com | predatorfreenz.org | trc.govt.nz,4,02-PEOPLE,1,2,True,100,A — very strong,Tier 1 — priority LM candidate,medium,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-coastal-community-catchment-group,Coastal Community Catchment Group,entity,Taranaki,,Taranaki coast,Catchment group,,,https://www.taranakicc.nz/coastal/,Freshwater enhancement | Community environmental action,"Undertakes local stream, land and catchment environmental enhancement.",https://www.taranakicc.nz/coastal/,1,taranakicc.nz,1,01-LANDSCAPE,1,1,False,66,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-coastal-school,Coastal School,entity,Taranaki,,Ōākura,School ecological programme,,,,native planting | freshwater monitoring,Public project material identifies practical riparian restoration and freshwater monitoring.,https://tewhenuatomuri.org/maru-wai-matara-kaitiaki-taiao/,1,tewhenuatomuri.org,0,03-GRASSROOTS,1,1,False,61,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-david-macleod,David MacLeod,entity,Taranaki,,Taranaki,Council Chairman,,,,freshwater health improvement | riparian management | predator control leadership,Taranaki Regional Council chair involved in the oversight and promotion of voluntary riparian management and freshwater health improvement programmes.,https://ourwayoflife.co.nz/waterway-guardians-taranaki-dairy-farmers-lead-by-example-with-riparian-planting-schemes/ | https://trc.govt.nz/environment/working-together/towards-predator-free-taranaki/predator-free-news/taranaki-tackles-predator-free-challenge | https://predatorfreenz.org/stories/towards-predator-free-taranaki/,3,ourwayoflife.co.nz | predatorfreenz.org | trc.govt.nz,2,02-PEOPLE,1,1,False,84,A — very strong,Tier 1 — priority LM candidate,medium,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-devon-intermediate,Devon Intermediate,entity,Taranaki,,New Plymouth,School ecological programme,,,,Predator trapping | Biodiversity monitoring | predator control,Students make and monitor traps and undertake rodent control as part of school ecological activity. | The school uses tracking tunnels to monitor results from a practical predator-control network.,https://www.nzherald.co.nz/stratford-press/news/students-from-devon-intermediate-work-on-reducing-rodent-numbers/MAAZMIA5WKHR7Z7BD56J5JYW34/,1,nzherald.co.nz,0,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,67,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-donald-bolton,Donald Bolton,entity,Taranaki,,Midhirst,Farm ecological project,,,,predator control | native planting | freshwater protection,"Public award evidence connects the farm with trapping, planting and freshwater/biodiversity protection.",https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2023-award-winners/environmental-leadership-in-farming,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,66,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-east-taranaki-environment-trust,East Taranaki Environment Trust,entity,Taranaki,,East Taranaki | Pūrangi | Whangamōmona | North-east Taranaki,Conservation trust | Community environment trust,,,https://etec.org.nz/,Predator control | Native species monitoring | Habitat restoration | monitoring,"Leads landscape-scale predator control, monitoring and habitat restoration. | Coordinates conservation work and predator control with Iwi and local volunteers to protect native species like kōkako.",https://etec.org.nz/projects/ | https://etec.org.nz/ | https://www.miragenews.com/1m-boost-for-taranaki-habitat-and-kokako-1725057/ | https://etec.org.nz/wp-content/uploads/2023/11/High-Res-ETEC-Annual-Report-2023.pdf | https://goodnature.co.nz/blog/rewilding-everett-park | https://www.rnz.co.nz/news/environment/534357/winners-of-taranaki-regional-council-environmental-awards-announced | https://wildfortaranaki.nz/community-fund/,7,etec.org.nz | goodnature.co.nz | miragenews.com | rnz.co.nz | wildfortaranaki.nz,1,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,100,A — very strong,Tier 1 — priority LM candidate,high,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-eastern-taranaki-environment-trust,Eastern Taranaki Environment Trust,entity,Taranaki,,Eastern Taranaki | North-east Taranaki,Conservation trust,,,,Predator control | Monitoring | Habitat restoration,Leads predator control and ecological restoration across north-east Taranaki.,https://www.nzgeo.com/stories/taranaki-kiwi/ | https://www.miragenews.com/1m-boost-for-taranaki-habitat-and-kokako-1725057/ | https://www.nationaltribune.com.au/more-than-1-million-for-taranaki-coastal-habitat-and-kokako/ | https://www.devdiscourse.com/article/law-order/3962261-government-invests-1m-to-protect-taranaki-habitats-and-kkako,4,devdiscourse.com | miragenews.com | nationaltribune.com.au | nzgeo.com,0,01-LANDSCAPE,1,1,False,79,A — very strong,Tier 1 — priority LM candidate,high,enhanced_priority_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-ed-whiting,Ed Whiting,entity,Taranaki,,New Plymouth,Farm ecological project,,,,riparian planting | environmental monitoring,Ed Whiting is a farmer operating in New Plymouth and Midhurst who has implemented riparian planting and advanced environmental monitoring systems to reduce environmental impact.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/award-winners/environmental-leadership-in-land-management-2,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,62,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-egmont-village-school,Egmont Village School,entity,Taranaki,,Egmont Village,School ecological programme,,,,predator control | native planting,Egmont Village School engages students in hands-on conservation experiences such as tree planting and trapping.,https://etec.org.nz/projects/,1,etec.org.nz,0,03-GRASSROOTS,1,1,False,58,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-eltham-community-development-group,Eltham Community Development Group,entity,Taranaki,,Eltham,Community group | Community wetland restoration group,,,,Wetland restoration,Community organisation with publicly documented wetland-restoration activity. | Wild for Taranaki lists the group as undertaking wetland restoration.,https://wildfortaranaki.nz/community-fund/,1,wildfortaranaki.nz,1,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,66,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-eltham-primary-school,Eltham Primary School,entity,Taranaki,,Eltham,School ecological programme,,,,native planting | freshwater monitoring,Public project documentation identifies practical riparian restoration and freshwater monitoring.,https://tewhenuatomuri.org/maru-wai-matara-kaitiaki-taiao/,1,tewhenuatomuri.org,0,03-GRASSROOTS,1,1,False,61,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-emma-content,Emma Content,entity,Taranaki,,Waitara,Senior Landscape Architect,,,,stream restoration | nature-based solutions,Senior Landscape Architect and Nature-based Solutions Lead at Beca who worked on the Tangaroa Stream project.,https://www.beca.com/what-we-do/projects/government/te-whakaora-o-tangaroa | https://www.waternz.org.nz/Article?Action=View&Article_id=3461 | https://www.theaotearoacircle.nz/post/the-case-for-nature-tangaroa-stream-shows-a-smarter-way-to-build-resilience,3,beca.com | theaotearoacircle.nz | waternz.org.nz,0,02-PEOPLE,1,1,False,53,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-fitzroy-school,Fitzroy School,entity,Taranaki,,New Plymouth,School ecological programme,,,,native planting,Fitzroy School conducts riparian restoration work on Te Hēnui awa.,https://tewhenuatomuri.org/maru-wai-matara-kaitiaki-taiao/ | https://www.sustainabletaranaki.org.nz/news/from-maunga-to-moana-tauira-protecting-taranakis-manu-moana,2,sustainabletaranaki.org.nz | tewhenuatomuri.org,0,03-GRASSROOTS,1,1,False,63,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-george-woolford,George Woolford,entity,Taranaki,,Waitara,Principal Landscape Architect,,,,stream restoration | landscape architecture,Principal Landscape Architect and Project Director at Beca involved in the Tangaroa Stream restoration.,https://www.beca.com/what-we-do/projects/government/te-whakaora-o-tangaroa | https://www.waternz.org.nz/Article?Action=View&Article_id=3461,2,beca.com | waternz.org.nz,0,02-PEOPLE,1,1,False,52,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-glenn-and-lynda-howatson,Glenn and Lynda Howatson,entity,Taranaki,,Kiore,Farm ecological project,,,,riparian planting | wetland protection,"Public award evidence records more than 7,000 riparian plants and protection of six wetlands.",https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2023-award-winners/environmental-leadership-in-farming,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,63,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-gordon-symes,Gordon Symes,entity,Taranaki,,Ōpunake,Ecological land steward,,,https://ourwayoflife.co.nz/waterway-guardians-taranaki-dairy-farmers-lead-by-example-with-riparian-planting-schemes/,riparian planting | fencing,Public farm story identifies riparian planting and fencing on his Ōpunake farm.,https://ourwayoflife.co.nz/waterway-guardians-taranaki-dairy-farmers-lead-by-example-with-riparian-planting-schemes/,1,ourwayoflife.co.nz,0,02-PEOPLE,1,1,False,55,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-grant-skilton,Grant Skilton,entity,Taranaki,,Whanganui,Ecological land steward,,,,predator control | fencing | native flora and fauna protection,"Grant Skilton is a landowner who manages Skilton's Bush, a Key Native Ecosystem in the Taranaki region, focusing on predator control and native habitat protection.",https://www.nzherald.co.nz/whanganui-chronicle/news/kiwi-calls-recorded-in-whanganui-conservation-area/PN23HH5IEIJJW6EYGEV4PESSHY/,1,nzherald.co.nz,0,02-PEOPLE,1,1,False,52,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-green-school,Green School,entity,Taranaki,,Ōākura,School ecological programme,,,,Wetland restoration | Predator control | Native planting | weed control,"Undertakes native planting, predator control, wetland restoration and weed control. | Public award material records wetland restoration, native planting, weed control and pest trapping.",https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/award-winners,1,trc.govt.nz,1,01-LANDSCAPE | 03-GRASSROOTS,2,2,True,75,A — very strong,Tier 1 — priority LM candidate,medium,enhanced_priority_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-greg-gillette,Greg Gillette,entity,Taranaki,,Onaero | Urenui | Mimi,Steering Group Member,,,,weed control | predator control | pest management | catchment restoration,"Steering group member for the Onaero/Urenui/Mimi Catchment, involved in community-led land and water management initiatives including weed and predator control.",https://www.taranakicc.nz/urenui-mimi-uruti/,1,taranakicc.nz,1,02-PEOPLE,1,1,False,60,B — strong,Tier 2 — credible candidate,high,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-hawera-high-school,Hawera High School,entity,Taranaki,,Hāwera,School ecological programme,,,,biodiversity monitoring,Students monitor riparian invertebrates and vegetation for the freshwater project.,https://wiki.citscihub.nz/Fish_Food_Fringes,1,wiki.citscihub.nz,0,03-GRASSROOTS,1,1,False,58,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Public evidence exists; stronger primary/sector source desirable.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-he-hononga-taiao,He Hononga Taiao,entity,Taranaki,,Taranaki,Collaborative restoration group,,,,Biodiversity restoration,Publicly listed as a group undertaking biodiversity restoration in Taranaki.,https://wildfortaranaki.nz/our-members/,1,wildfortaranaki.nz,1,01-LANDSCAPE,1,1,False,60,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
exg-taranaki-helms-rj-family-trust,Helms RJ Family Trust,entity,Taranaki,,Rāhotu,Farm ecological project,,,,riparian restoration | wetland restoration | native habitat enhancement,The farm has fenced and planted streambanks and protected wetland/native habitat.,https://www.trc.govt.nz/environment/working-together/environmental-awards/previous-winners/2020-award-winners/environmental-leadership-in-dairy-farming-2020,1,trc.govt.nz,1,03-GRASSROOTS,1,1,False,63,B — strong,Tier 2 — credible candidate,medium,enhanced_credible_located,Evidence and locality sufficient for LM staging review.,staged_for_locality_resolution,discovered,unverified,not_resolved,,,,,NI-LATEST-FIVE-001,enhanced Tier 1/2 + locality evidence
